cluster,cell_type,sub_type,notes
0,oligo,,Olig2+
1,micro,,Proliferating
2,micro,,
3,oligo,,Newly formed
4,oligo,,
5,oligo,,
6,micro,,
7,micro,,
8,epi/CP,,
9,micro,,
10,oligo,,
11,epi/CP,,
12,micro,,
13,oligo,Klk6+,
14,micro,,
15,neuron,,
16,doublet,micro/epi,
17,doublet,micro/oligo,
18,micro,,
19,neuron,,
20,astro,,
21,endo,,
22,peri,,
23,oligo,,
24,mac/mono,,
25,T/NK Cells,,
26,micro,,
27,fibro,,
28,opc,,
29,Prolif. Lymphocyte,,
30,epi/CP,,
31,micro,,
32,epi/CP,,
33,B Cells,,
34,Bergmann,,
35,neuron,,
36,RBC,,
37,neutrophils,,